idx,op,name,ne0,ne1,ne2,ne3,us
1591,CPY,bb.layers.2.blocks.14.norm1.weight (copy),768,1,1,1,7
1592,MUL,node_1592,768,4096,1,1,82
1593,CPY,bb.layers.2.blocks.14.norm1.bias (copy),768,1,1,1,6
1594,ADD,bb.layers.2.blocks.14.norm1,768,4096,1,1,82
1595,RESHAPE,bb.layers.2.blocks.14.norm1 (reshaped),768,64,64,1,0
1596,PAD,node_1596,768,72,72,1,95
1597,RESHAPE, (reshaped),9216,6,12,6,1
1598,PERMUTE, (reshaped) (permuted),9216,12,6,6,1
1599,CONT, (reshaped) (permuted) (cont),9216,12,6,6,106
1600,RESHAPE, (reshaped) (permuted) (cont) (reshaped),768,144,36,1,1
1601,MUL_MAT,node_1601,2304,144,36,1,942
1602,CPY,bb.layers.2.blocks.14.attn.qkv.bias (copy),2304,1,1,1,7
1603,ADD,node_1603,2304,144,36,1,293
1604,RESHAPE, (reshaped),32,24,3,5184,1
1605,PERMUTE, (reshaped) (permuted),32,24,5184,3,1
1606,CONT, (reshaped) (permuted) (cont),32,24,5184,3,570
1607,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,1
1608,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,1
1609,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),144,32,24,36,1
1610,CONT, (reshaped) (permuted) (cont) (view) (reshaped) (permuted) (con,144,32,24,36,104
1611,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,1
1612,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,1
1613,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),32,144,24,36,1
1614,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,1
1615,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,1
1616,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),32,144,24,36,1
1617,MUL_MAT,node_1617,144,144,24,36,541
1618,RESHAPE,swin_layer_64x64.attn_mask (reshaped),144,144,1,36,1
1619,REPEAT,node_1619,144,144,24,36,1544
1620,GET_ROWS,node_1620,24,20736,1,1,77
1621,RESHAPE, (reshaped),24,144,144,1,1
1622,PERMUTE, (reshaped) (permuted),144,144,24,1,0
1623,CPY, (reshaped) (permuted) (copy),144,144,24,1,34
1624,ADD,node_1624,144,144,24,36,277
1625,SOFT_MAX,node_1625,144,144,24,36,1257
1626,MUL_MAT,node_1626,32,144,24,36,335
1627,PERMUTE, (permuted),32,24,144,36,0
1628,CONT, (permuted) (cont),32,24,144,36,197
1629,RESHAPE, (permuted) (cont) (reshaped),768,144,36,1,1
