idx,op,name,ne0,ne1,ne2,ne3,us
719,CPY, (reshaped) (permuted) (copy),144,144,24,1,181
720,ADD,node_720,144,144,24,36,6454
721,SOFT_MAX,node_721,144,144,24,36,9788
722,MUL_MAT,node_722,32,144,24,36,8510
723,PERMUTE, (permuted),32,24,144,36,4
724,CONT, (permuted) (cont),32,24,144,36,1484
725,RESHAPE, (permuted) (cont) (reshaped),768,144,36,1,2
726,MUL_MAT,node_726,768,144,36,1,13299
727,ADD,bb.layers.2.blocks.2.attn,768,144,36,1,205
728,RESHAPE,bb.layers.2.blocks.2.attn (reshaped),9216,12,6,6,1
729,PERMUTE,bb.layers.2.blocks.2.attn (reshaped) (permuted),9216,6,12,6,0
730,CONT,bb.layers.2.blocks.2.attn (reshaped) (permuted) (cont),9216,6,12,6,676
731,RESHAPE,bb.layers.2.blocks.2.attn (reshaped) (permuted) (cont) (reshape,768,72,72,1,0
732,RESHAPE,bb.layers.2.blocks.2.attn (reshaped) (permuted) (cont) (reshape,768,72,72,1,0
733,VIEW,bb.layers.2.blocks.2.attn (reshaped) (permuted) (cont) (reshape,768,64,64,1,1
734,CONT,bb.layers.2.blocks.2.attn (reshaped) (permuted) (cont) (reshape,768,64,64,1,491
735,RESHAPE,bb.layers.2.blocks.2.attn (reshaped) (permuted) (cont) (reshape,768,4096,1,1,2
736,ADD,bb.layers.2.blocks.2.attn (reshaped) (permuted) (cont) (reshape,768,4096,1,1,707
737,NORM,node_737,768,4096,1,1,619
738,MUL,node_738,768,4096,1,1,146
739,ADD,bb.layers.2.blocks.2.norm2,768,4096,1,1,82
740,MUL_MAT,node_740,3072,4096,1,1,39366
741,ADD,node_741,3072,4096,1,1,2991
742,UNARY, (view),3072,4096,1,1,5290
743,MUL_MAT,node_743,768,4096,1,1,43330
744,ADD,bb.layers.2.blocks.2.mlp,768,4096,1,1,417
745,ADD,bb.layers.2.blocks.2,768,4096,1,1,1165
746,NORM,node_746,768,4096,1,1,774
747,MUL,node_747,768,4096,1,1,103
748,ADD,bb.layers.2.blocks.3.norm1,768,4096,1,1,70
749,RESHAPE,bb.layers.2.blocks.3.norm1 (reshaped),768,64,64,1,1
750,PAD,node_750,768,72,72,1,2098
751,ROLL,node_751,768,72,72,1,460
752,RESHAPE, (reshaped),9216,6,12,6,1
753,PERMUTE, (reshaped) (permuted),9216,12,6,6,0
754,CONT, (reshaped) (permuted) (cont),9216,12,6,6,301
755,RESHAPE, (reshaped) (permuted) (cont) (reshaped),768,144,36,1,1
756,MUL_MAT,node_756,2304,144,36,1,37123
757,ADD,node_757,2304,144,36,1,2488
758,RESHAPE, (reshaped),32,24,3,5184,2
759,PERMUTE, (reshaped) (permuted),32,24,5184,3,1
760,CONT, (reshaped) (permuted) (cont),32,24,5184,3,6057
761,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,2
762,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,0
763,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),144,32,24,36,0
764,CONT, (reshaped) (permuted) (cont) (view) (reshaped) (permuted) (con,144,32,24,36,2351
765,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,1
766,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,1
767,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),32,144,24,36,1
768,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,0
769,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,0
770,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),32,144,24,36,1
771,MUL_MAT,node_771,144,144,24,36,12972
772,RESHAPE,swin_layer_64x64.attn_mask (reshaped),144,144,1,36,4
